1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],5. East longitude [°],6. Radius [km],7. Radius [m],8. Apparent diameter [km],9. Transient cavity diameter [km],10. Transient cavity diameter [km],11. Floor diameter [km],12. Measured rim to floor depth [km],13. Rim to floor depth [km],14. Apparent depth [km],15. Transient cavity depth [km] ,16. Interior volume [km^3],17. Rim height [km],18. Rim flank width [km],19. Measured height of central peak [km],20. Height of central peak [km],21. Diameter of central peak [km],22. Basal area of central peak [km^2],23. Maximum diameter of ejecta blocks [km],24. Maximum diameter of ejecta blocks [km] ,25. Thickness of ejecta in the distance equal to one radius [m] ,26. Thickness of ejecta in the distance equal to two radii [m],27. Thickness of ejecta in the distance equal to three radii [m],28. Thickness of ejecta in the distance equal to four radii [m],29. Thickness of ejecta in the distance equal to five radii [m],"30. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","31. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","32. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","33. Thickness of ejecta in the distance of 10,000 m outside the rim [m]",34. Radial distance of continuous ejecta [km],35. Radial distance of continuous ejecta [km],36. Radius of ejecta blanket thicker than 10 m [km],37. Radius of ejecta blanket thicker than 10 m [km] minimum,38. Radius of ejecta blanket thicker than 10 m [km] best estimate,39. Radius of ejecta blanket thicker than 10 m [km] maximum,40. Radius of radar-bright halo [km],41. Measured radius of radar-bright halo [km],42. Radius of radar-dark halo [km],43. Measured radius of radar-dark halo [km],44. Depth of excavation [km],45. Depth of excavation [km],46. Depth of melting [km],47. Depth of melting [km],48. Melt volume [km^3] ,"49. Melt volume, 45° on basalt [km^3] ","50. Melt volume, 45° on anorthosite [km^3] ",51. Age,52. Age class,53. Remarks,54. Age - source ,55. Age - other sources,56. Basin age group,"57. Citation for first mention, citation for nomenclature from ",58. Approval,59. Peak lithology,60. Ol [vol.-%],61. Opx [vol.-%],62. Cpx [vol.-%],63. Plg [vol.-%],64. Mafics/Plg,65. Opx/Cpx,66. Plg [wt.-%],67. Ol [wt.-%],68. Opx [wt.-%],69. Cpx [wt.-%],70. FeO [wt.-%],71. Peak lithologies,72. Setting,73. Average CF [?m],74. Average OMAT,75. Average FeO [wt.-%],76. OMAT range,77. Plg abundance class,78. Province,79. Peak degradation,80. PAN location,81. Rays,1. Crater name 
Maurolycus M,10.57,-41.94,12.53,12.53,5.3,5285,8.77,8.88,0,1.99,0.65,2.12,1.737,2.96,47.24,0.39,2.79,,0,0,0,0.05,0.14,211.4,26.43,7.83,3.3,1.69,8.74,24.33,26.72,7.21,12.53,10.63,20.56,12.64,14.61,17.91,9.67,,28.92,,0,0.89,0,1.04,0.64,0.2,0.5,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maurolycus M
Maurolycus N,7.22,-41.08,14.02,14.02,3.6,3610,5.99,6.06,0,1.02,0.62,1.44,1.213,2.02,15.05,0.27,1.9,,0,0,0,0.04,0.11,144.4,18.05,5.35,2.26,1.16,2.69,9.64,10.6,2.22,8.54,7.33,13.44,7.74,8.79,10.5,6,,21,,0,0.61,0,0.63,0.15,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maurolycus N
Maurolycus P,3.94,-38.13,12.69,12.69,2,1970,3.27,3.31,0,0.35,0.79,0.78,0.686,1.1,2.45,0.14,1.03,,0,0,0,0.02,0.07,78.8,9.85,2.92,1.23,0.63,0.35,1.87,2.06,0.29,4.64,4.06,6.85,3.55,3.92,4.5,2.82,,12.63,,0,0.33,0,0.29,0.01,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maurolycus P
Maurolycus R,4.5,-40.91,16.22,16.22,2.3,2250,3.74,3.78,0,0.44,0.86,0.9,0.778,1.26,3.65,0.17,1.18,,0,0,0,0.03,0.08,90,11.25,3.33,1.41,0.72,0.56,2.72,3,0.46,5.31,4.62,7.94,4.22,4.68,5.42,3.32,,14.12,,0,0.38,0,0.34,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maurolycus R
Maurolycus S,6.43,-42.08,17.01,17.01,3.2,3215,5.34,5.4,0,0.83,0.99,1.28,1.088,1.8,10.63,0.24,1.69,,0,0,0,0.03,0.1,128.6,16.08,4.76,2.01,1.03,1.85,7.15,7.86,1.53,7.6,6.54,11.81,6.67,7.53,8.93,5.19,,19.05,,0,0.54,0,0.55,0.09,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maurolycus S
Maurolycus T,9.63,-41.34,11.42,11.42,4.8,4815,7.99,8.09,0,1.69,,1.93,1.591,2.7,35.72,0.36,2.54,,0,0,0,0.04,0.13,192.6,24.08,7.13,3.01,1.54,6.61,19.57,21.5,5.45,11.41,9.7,18.53,11.21,12.91,15.72,8.6,,26.74,,0,0.81,0,0.92,0.44,0.2,0.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maurolycus T
Maurolycus W,4.08,-42.86,15.15,15.15,2,2040,3.39,3.43,0,0.37,0.86,0.81,0.709,1.14,2.72,0.15,1.06,,0,0,0,0.03,0.08,81.6,10.2,3.02,1.28,0.65,0.4,2.07,2.27,0.33,4.81,4.2,7.12,3.72,4.11,4.72,2.94,,13.01,,0,0.34,0,0.3,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maurolycus W
Maury,16.58,37.11,39.69,39.69,8.3,8290,13.76,16.33,10.58,4.4,3.28,2.43,2.653,5.44,0,0.62,4.39,,0,0,0,0.06,0.19,111.14,13.89,4.12,1.74,0.89,10.35,63.95,70.15,25.47,19.71,16.49,33.95,16.5,18.5,21.72,20.71,,42.2,,0,1.63,0,2.28,6.65,2.3,5.2,,,,,,,NLF,1935,,,,,,,,,,,,,,,,,,,,,,,,Maury
Maury A,21.37,35.99,41.9,41.9,10.7,10685,18.38,20.27,13.41,8.57,2.19,2.62,1.812,6.76,280.82,0.8,6.04,,0.25,2.96,7.35,0.08,0.23,134.1,16.76,4.97,2.1,1.07,18.48,103.27,113.2,48.6,25.45,21.13,45.05,22.43,25.39,30.18,27.12,,52.21,,0,2.03,0,3.01,15.25,5.2,11.9,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maury A
Maury B,8.62,35.11,42.05,42.05,4.3,4310,7.15,7.24,0,1.39,1.87,1.73,1.433,2.41,25.62,0.32,2.27,,0,0,0,0.04,0.12,172.4,21.55,6.39,2.69,1.38,4.71,14.99,16.48,3.89,10.21,8.71,16.38,9.72,11.13,13.46,7.49,,24.37,,0,0.72,0,0.8,0.29,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maury B
Maury C,28.82,36.98,38.68,38.68,14.4,14410,24.79,26.13,17.74,12.45,1.48,2.87,1.985,8.71,560.36,0.9,7.76,,0.45,4.89,14.16,0.09,0.27,167.32,20.91,6.2,2.61,1.34,34.42,170.79,187.03,97.83,34.38,28.29,62.86,32.23,36.86,44.47,37.26,,67.11,,2.91,2.61,2.91,4.18,40.58,13.8,31.5,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maury C
Maury D,7.61,38.27,37.78,37.78,3.8,3805,6.32,6.39,0,1.11,1.48,1.52,1.275,2.13,17.63,0.28,2,,0,0,0,0.04,0.11,152.2,19.03,5.64,2.38,1.22,3.19,11.01,12.1,2.63,9.01,7.71,14.25,8.28,9.43,11.31,6.41,,21.95,,0,0.64,0,0.68,0.18,0.1,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maury D
Maury J,5.97,39.04,40.09,40.09,3,2985,4.96,5.01,0,0.73,,1.19,1.014,1.67,8.51,0.22,1.56,,0,0,0,0.03,0.1,119.4,14.93,4.42,1.87,0.96,1.45,5.88,6.47,1.2,7.05,6.09,10.88,6.06,6.82,8.05,4.73,,17.9,,0,0.5,0,0.5,0.07,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maury J
Maury K,5.2,39.47,41.07,41.07,2.6,2600,4.32,4.37,0,0.57,,1.04,0.891,1.46,5.62,0.19,1.36,,0,0,0,0.03,0.09,104,13,3.85,1.63,0.83,0.91,4.05,4.46,0.75,6.14,5.32,9.33,5.08,5.68,6.63,3.98,,15.94,,0,0.44,0,0.41,0.04,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maury K
Maury L,4.23,40.29,42.5,42.5,2.1,2115,3.51,3.55,0,0.4,,0.84,0.734,1.18,3.03,0.16,1.1,,0,0,0,0.03,0.08,84.6,10.58,3.13,1.32,0.68,0.45,2.29,2.52,0.37,4.99,4.35,7.41,3.89,4.31,4.97,3.08,,13.41,,0,0.36,0,0.32,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maury L
Maury M,9.25,40.86,42.55,42.55,4.6,4625,7.68,7.77,0,1.57,,1.85,1.532,2.59,31.66,0.34,2.44,,0,0,0,0.04,0.13,185,23.13,6.85,2.89,1.48,5.85,17.78,19.54,4.83,10.96,9.33,17.72,10.65,12.23,14.86,8.18,,25.85,,0,0.78,0,0.87,0.38,0.1,0.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maury M
Maury N,17.6,40.36,41.77,41.77,8.8,8800,14.61,17.18,11.19,4.89,,2.48,2.806,5.73,0,0.74,5.14,,0.17,1.99,4.81,0.07,0.2,116.16,14.52,4.3,1.81,0.93,11.91,71.89,78.85,29.78,20.93,17.48,36.28,17.73,19.93,23.47,22.06,,44.36,,0,1.72,0,2.43,8.08,2.7,6.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maury N
Maury P,11.91,40.01,37.98,37.98,6,5955,9.89,10,0,2.46,,2.39,1.943,3.33,67.58,0.44,3.15,,0,0,0,0.05,0.15,238.2,29.78,8.82,3.72,1.91,12.39,31.88,35,10.22,14.13,11.94,23.48,14.73,17.13,21.17,11.22,,31.96,,0,1,0,1.21,1.01,0.3,0.8,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maury P
Maury T,2.74,39.97,43.29,43.29,1.4,1370,2.27,2.3,0,0.18,,0.54,0.487,0.77,0.82,0.1,0.71,,0,0,0,0.02,0.06,54.8,6.85,2.03,0.86,0.44,0.1,0.65,0.71,0.08,3.22,2.85,4.57,2.23,2.42,2.71,1.79,,9.31,,0,0.23,0,0.18,0,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maury T
Maury U,4.69,39.31,37.07,37.07,2.3,2345,3.89,3.94,0,0.47,,0.93,0.808,1.31,4.13,0.17,1.23,,0,0,0,0.03,0.08,93.8,11.73,3.47,1.47,0.75,0.64,3.05,3.36,0.53,5.53,4.81,8.31,4.45,4.95,5.74,3.5,,14.62,,0,0.39,0,0.36,0.03,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Maury U
Mavis,1.09,29.76,-26.36,333.64,0.5,545,0.9,0.92,0,0.04,,0.21,0.137,0.31,0.05,0.04,0.28,,0,0,0,0.01,0.03,21.8,2.73,0.81,0.34,0.17,0,0.04,0.04,0,0,1.16,1.63,0.68,0.71,0.74,0.56,,4.3,,0,0.09,0,0,0,0,0,,,,,,,IAU1976,1976,,,,,,,,,,,,,,,,,,,,,,,,Mavis
Maxwell,109.24,29.9,98.53,98.53,54.6,54620,93.95,81.1,61.61,65.73,,4.29,2.882,27.03,12168.55,1.54,23.63,,0,25.72,262,0,0,448.51,56.06,16.61,7.01,3.59,270.85,791.82,863.66,1088.48,131.36,103.85,277.49,161.91,194.06,250.07,153.5,,205.38,,9.04,8.11,17.43,18.1,3177.5,1076.8,2470,Nectarian,2,Younger than Humboldtianum Basin; Filled with mare ,GHM 2 PC,,,BML1960 IAU1961,1961,,,,,,,,,,,,,,,,,,,,,,,,Maxwell
McAdie,41,2.11,92.22,92.22,20.5,20500,35.26,35.26,24.66,19.33,,3.19,2.209,11.75,1265.05,1.04,10.41,,0.9,8.05,30.64,0.12,0.35,217.18,27.15,8.04,3.39,1.74,65.95,284.48,311.2,205.41,49.01,39.9,93.11,49.4,57.2,70.22,54.19,,90.22,,3.93,3.53,5.32,6.16,128.62,43.6,100,,,,,,,IAU1973,1973,,,,,,,,,,,,,,,,,,,,,,,,McAdie
McAuliffe,19.11,-33.24,-149.77,210.23,9.6,9555,16.43,18.43,12.08,5.66,,2.54,1.752,6.14,216.91,0.77,5.5,,0.2,2.38,5.76,0.07,0.21,123.45,15.43,4.57,1.93,0.99,14.4,84.12,92.23,36.78,22.74,18.94,39.77,19.59,22.08,26.11,24.08,,47.54,,0,1.84,0,2.66,10.58,3.6,8.2,,,Formerly Borman Y,,,,IAU1988,1988,,,,,,,,,,,,,,,,,,,,,,,,McAuliffe
McClure,23.96,-15.32,50.24,50.24,12,11980,20.61,22.33,14.92,9.88,,2.72,1.877,7.44,365.76,0.84,6.65,,0.31,3.64,9.45,0.08,0.24,145.94,18.24,5.41,2.28,1.17,23.63,126.17,138.25,64.01,28.55,23.62,51.17,25.77,29.28,35.01,30.62,,57.48,,0,2.23,0,3.42,22.17,7.5,17.2,,,,,,,NLF,1935,,,,,,,,,,,,,,,,,,,,,,,,McClure
McClure A,6.12,-15.6,48.95,48.95,3.1,3060,5.08,5.14,0,0.76,,1.22,1.038,1.71,9.17,0.23,1.6,,0,0,0,0.03,0.1,122.4,15.3,4.53,1.91,0.98,1.57,6.28,6.91,1.3,7.23,6.23,11.18,6.26,7.05,8.33,4.88,,18.28,,0,0.51,0,0.51,0.08,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,McClure A
McClure B,8.09,-15.49,49.33,49.33,4,4045,6.71,6.8,0,1.24,,1.62,1.35,2.27,21.18,0.3,2.13,,0,0,0,0.04,0.12,161.8,20.23,5.99,2.53,1.29,3.87,12.83,14.1,3.19,9.58,8.19,15.26,8.96,10.23,12.32,6.92,,23.1,,0,0.68,0,0.73,0.23,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,McClure B
McClure C,25.94,-14.73,49.86,49.86,13,12970,22.31,23.89,16.07,10.91,,2.78,1.922,7.96,439.39,0.87,7.1,,0.37,4.15,11.24,0.09,0.26,154.78,19.35,5.73,2.42,1.24,27.86,144.16,157.92,77.05,30.93,25.53,55.9,28.37,32.32,38.8,33.32,,61.44,,0,2.39,0,3.73,28.75,9.7,22.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,McClure C
McClure D,24.24,-14.8,51.74,51.74,12.1,12120,20.85,22.56,15.09,10.03,1.1,2.73,1.883,7.52,375.71,0.84,6.71,,0.32,3.71,9.69,0.08,0.25,147.2,18.4,5.45,2.3,1.18,24.21,128.69,141,65.79,28.89,23.89,51.84,26.13,29.7,35.54,31,,58.04,,0,2.26,0,3.46,23.03,7.8,17.9,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,McClure D
McClure M,20.53,-14.19,51.24,51.24,10.3,10265,17.66,19.59,12.92,8.15,0.74,2.59,1.79,6.53,255.97,0.79,5.84,,0.23,2.75,6.74,0.07,0.22,130.18,16.27,4.82,2.03,1.04,16.92,96.05,105.29,44.03,24.44,20.32,43.08,21.37,24.15,28.65,25.99,,50.49,,0,1.96,0,2.88,13.37,4.5,10.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,McClure M
McClure N,9.09,-14.19,52.71,52.71,4.5,4545,7.54,7.64,0,1.52,,1.82,1.507,2.55,30.04,0.34,2.39,,0,0,0,0.04,0.13,181.8,22.73,6.73,2.84,1.45,5.55,17.05,18.74,4.58,10.77,9.17,17.38,10.41,11.95,14.5,8,,25.48,,0,0.76,0,0.85,0.36,0.1,0.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,McClure N
McClure P,12.26,-14.77,53.37,53.37,6.1,6130,10.18,10.3,0,2.59,,2.46,1.997,3.43,73.71,0.46,3.24,,0,0,0,0.05,0.16,245.2,30.65,9.08,3.83,1.96,13.46,33.99,37.32,11.1,14.55,12.28,24.25,15.29,17.81,22.04,11.63,,32.75,,0,1.03,0,1.26,1.13,0.4,0.9,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,McClure P
McClure S,3.52,-13.73,53.36,53.36,1.8,1760,2.92,2.96,0,0.29,,0.7,0.617,0.99,1.74,0.13,0.92,,0,0,0,0.02,0.07,70.4,8.8,2.61,1.1,0.56,0.24,1.35,1.49,0.19,4.15,3.63,6.04,3.07,3.37,3.84,2.45,,11.49,,0,0.3,0,0.25,0.01,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,McClure S
McCool,20.47,-41.28,-146.26,213.74,10.2,10235,17.6,19.54,12.88,8.12,,2.59,1.789,6.51,254.25,0.79,5.83,,0.23,2.73,6.69,0.073,0.219,129.9,16.24,4.81,2.03,1.04,16.81,95.54,104.73,43.71,24.37,20.26,42.94,21.29,24.06,28.54,25.9,,50.36,,0,1.95,0,2.87,13.25,4.5,10.3,,,,,,,IAU2006,2006,,,,,,,,,,,,,,,,,,,,,,,,McCool
McDonald,6.97,30.39,-20.88,339.12,3.5,3485,5.79,5.85,0,0.95,,1.39,1.174,1.95,13.54,0.26,1.83,,0,0,0,0.04,0.11,139.4,17.43,5.16,2.18,1.12,2.41,8.81,9.68,1.99,8.24,7.08,12.93,7.4,8.39,10,5.74,,20.39,,0,0.59,0,0.61,0.13,0,0.1,,,,,,,IAU1973,1973,,,,,,,,,,,,,,,,,,,,,,,,McDonald
McKellar,50.16,-15.72,-170.86,189.14,25.1,25080,43.14,41.85,29.77,24.86,,3.39,2.349,13.95,2015.59,1.13,12.33,,1.34,10.42,47.65,0.13,0.4,252.13,31.52,9.34,3.94,2.02,92.14,366.89,401.11,302.44,60.04,48.58,116.57,63.07,73.54,91.2,67.14,,106.86,,4.66,4.19,7.06,7.69,248.83,84.3,193.4,Nectarian,2,,PC,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,McKellar
McKellar B,16.49,-13.06,-169.17,190.83,8.2,8245,13.69,16.26,10.53,4.36,,2.43,2.639,5.42,0,0.62,4.37,,0,0,0,0.06,0.19,110.69,13.84,4.1,1.73,0.89,10.22,63.26,69.4,25.11,19.61,16.4,33.74,16.39,18.37,21.57,20.59,,42,,0,1.63,0,2.27,6.53,2.2,5.1,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McKellar B
McKellar S,21.05,-15.97,-173.3,186.7,10.5,10525,18.1,20.01,13.22,8.41,,2.61,1.804,6.67,271.2,0.8,5.96,,0.24,2.88,7.11,0.07,0.22,132.61,16.58,4.91,2.07,1.06,17.88,100.51,110.17,46.83,25.06,20.82,44.29,22.03,24.91,29.6,26.69,,51.56,,0,2,0,2.96,14.52,4.9,11.3,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McKellar S
McKellar T,40.21,-15.14,-173.02,186.98,20.1,20105,34.58,34.68,24.21,18.86,,3.17,2.196,11.56,1209.45,1.03,10.25,,0.87,7.84,29.36,0.11,0.34,214.08,26.76,7.93,3.34,1.71,63.76,277.2,303.25,197.61,48.06,39.15,91.11,48.25,55.82,68.48,53.08,,88.76,,3.86,3.47,5.17,6.03,120.69,40.9,93.8,Nectarian,2,,PC,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McKellar T
McKellar U,39.98,-13.77,-174.76,185.24,20,19990,34.38,34.51,24.08,18.73,,3.17,2.193,11.5,1193.53,1.03,10.2,,0.86,7.78,28.99,0.11,0.34,213.17,26.65,7.9,3.33,1.71,63.13,275.07,300.94,195.36,47.79,38.94,90.53,47.91,55.43,67.97,52.76,,88.34,,3.85,3.45,5.12,6,118.44,40.1,92.1,Nectarian,2,,PC,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McKellar U
McLaughlin,75.29,47.01,-92.83,267.17,37.6,37645,64.75,59.11,43.51,41.29,,3.83,2.777,19.7,5150.39,1.32,17.31,,0,16.93,115.96,0.17,0.52,340.53,42.57,12.61,5.32,2.72,167.97,569.24,621.58,612.76,90.34,72.22,183.28,103.15,122.02,154.37,103.36,,150.27,,6.59,5.91,11.62,12.02,939.95,318.5,730.7,pre-Nectarian,1,,W&B09,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,McLaughlin
McLaughlin A,31.6,51.32,-92.32,267.68,15.8,15800,27.18,28.26,19.33,13.96,,2.95,2.041,9.42,693.19,0.94,8.38,,0.54,5.61,17.32,0.1,0.29,179.12,22.39,6.63,2.8,1.43,41.14,196.79,215.45,119.75,37.72,30.95,69.66,36.03,41.34,50.11,41.09,,72.51,,3.15,2.83,3.47,4.63,54.85,18.6,42.6,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McLaughlin A
McLaughlin B,40.84,49.82,-90.99,269.01,20.4,20420,35.12,35.14,24.57,19.23,,3.19,2.207,11.71,1253.68,1.04,10.38,,0.9,8.01,30.38,0.12,0.35,216.56,27.07,8.02,3.38,1.73,65.5,283.01,309.6,203.83,48.82,39.75,92.7,49.16,56.92,69.87,53.96,,89.93,,3.92,3.51,5.29,6.14,126.99,43,98.7,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McLaughlin B
McLaughlin C,57.55,48.17,-91.79,268.21,28.8,28775,49.49,47.04,33.85,29.52,,3.54,2.449,15.68,2768.74,1.19,13.83,,0,12.34,64.38,0.14,0.43,279.13,34.89,10.34,4.36,2.23,114.07,430.12,470.05,388.08,68.94,55.56,135.86,74.49,87.29,108.98,77.69,,119.93,,5.24,4.7,8.43,8.95,390.15,132.2,303.3,pre-Nectarian,1,,W&B09,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McLaughlin C
McLaughlin P,32.72,45.02,-94.66,265.34,16.4,16360,28.14,29.11,19.97,14.58,,2.98,2.063,9.7,751.27,0.95,8.62,,0.58,5.9,18.69,0.1,0.3,183.79,22.97,6.81,2.87,1.47,43.94,207.3,226.93,129.07,39.06,32.02,72.41,37.59,43.17,52.42,42.64,,74.66,,3.24,2.91,3.69,4.81,61.48,20.8,47.8,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McLaughlin P
McLaughlin U,31.63,47.06,-96.99,263.01,15.8,15815,27.2,28.28,19.35,13.98,,2.95,2.042,9.43,694.71,0.94,8.38,,0.54,5.62,17.36,0.1,0.29,179.24,22.41,6.64,2.8,1.43,41.21,197.08,215.76,120,37.75,30.98,69.73,36.07,41.39,50.17,41.13,,72.57,,3.15,2.83,3.47,4.64,55.02,18.6,42.8,Upper Imbrian,4,,GHM 2,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McLaughlin U
McLaughlin Z,20.71,52.45,-92.79,267.21,10.4,10355,17.81,19.73,13.02,8.24,,2.6,1.795,6.58,261.19,0.79,5.88,,0.23,2.79,6.87,0.07,0.22,131.02,16.38,4.85,2.05,1.05,17.25,97.59,106.97,44.99,24.66,20.49,43.5,21.6,24.41,28.98,26.23,,50.86,,0,1.97,0,2.91,13.76,4.7,10.7,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McLaughlin Z
McMath,88.58,16.63,-166.09,193.91,44.3,44290,76.18,67.87,50.65,50.59,,4.03,2.823,22.62,7497.6,1.41,19.83,,0,20.37,165.54,0.19,0.58,384.06,48.01,14.22,6,3.07,208.52,662.52,723.09,793.56,106.39,84.63,219.68,125.6,149.43,190.57,122.85,,172.24,,7.56,6.79,13.94,14.37,1600.06,542.3,1243.8,Nectarian,2,,PC,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,McMath
McMath A,17.77,18.83,-165.79,194.21,8.9,8885,14.75,17.32,11.29,4.98,,2.48,2.831,5.77,0,0.74,5.18,,0.17,2.03,4.91,0.07,0.2,116.99,14.62,4.33,1.83,0.94,12.18,73.24,80.33,30.53,21.14,17.65,36.68,17.94,20.17,23.76,22.29,,44.72,,0,1.73,0,2.46,8.34,2.8,6.5,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McMath A
McMath J,46.09,14.59,-163.83,196.17,23,23045,39.64,38.95,27.51,22.37,,3.31,2.289,12.98,1657.71,1.09,11.48,,1.14,9.37,39.59,0.12,0.37,236.83,29.6,8.77,3.7,1.89,80.32,330.78,361.72,257.93,55.14,44.73,106.08,56.92,66.18,81.72,61.36,,99.54,,4.34,3.89,6.29,7.01,188.64,63.9,146.6,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McMath J
McMath M,13.61,15.69,-165.86,194.14,6.8,6805,11.3,11.43,0,3.11,,2.74,2.203,3.81,0,0.51,3.6,,0,0,0,0.06,0.17,272.2,34.03,10.08,4.25,2.18,18.07,42.62,46.78,14.91,16.16,13.6,27.25,17.49,20.47,25.51,13.26,,35.75,,0,1.14,0,1.44,1.68,0.6,1.3,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McMath M
McMath P,27.91,13.31,-168.78,191.22,14,13955,24,25.43,17.21,11.96,,2.84,1.966,8.48,520.33,0.89,7.55,,0.42,4.66,13.2,0.09,0.27,163.39,20.42,6.05,2.55,1.31,32.3,162.33,177.79,91.04,33.29,27.42,60.65,31,35.41,42.66,36.01,,65.33,,2.83,2.54,2.72,4.04,36.54,12.4,28.4,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McMath P
McMath Q,13.66,14.62,-168.44,191.56,6.8,6830,11.34,11.47,0,3.13,,2.75,2.211,3.82,0,0.51,3.61,,0,0,0,0.06,0.17,273.2,34.15,10.12,4.27,2.19,18.26,42.95,47.14,15.06,16.22,13.65,27.36,17.57,20.57,25.65,13.32,,35.86,,0,1.15,0,1.44,1.71,0.6,1.3,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McMath Q
McNair,32.02,-35.93,-147.95,212.05,16,16010,27.54,28.58,19.57,14.19,,2.96,2.049,9.53,714.66,0.94,8.47,,0.55,5.72,17.83,0.1,0.29,180.87,22.61,6.7,2.83,1.45,42.18,200.73,219.75,123.21,38.22,31.35,70.69,36.61,42.03,50.97,41.67,,73.32,,3.18,2.86,3.55,4.7,57.28,19.4,44.5,,,Formerly Borman A,,,,IAU1988,1988,,,,,,,,,,,,,,,,,,,,,,,,McNair
McNally,47.03,22.5,-127.65,232.35,23.5,23515,40.45,39.62,28.03,22.94,,3.33,2.304,13.21,1736.85,1.1,11.68,,1.18,9.61,41.38,0.13,0.38,240.39,30.05,8.9,3.76,1.92,83.03,339.19,370.9,268.03,56.27,45.62,108.49,58.33,67.87,83.89,62.69,,101.24,,4.41,3.96,6.47,7.17,201.52,68.3,156.7,,,,,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,McNally
McNally T,20.57,22.33,-129.57,230.43,10.3,10285,17.69,19.62,12.94,8.17,,2.59,1.791,6.54,257.13,0.79,5.85,,0.23,2.76,6.76,0.07,0.22,130.36,16.3,4.83,2.04,1.04,16.99,96.39,105.66,44.24,24.49,20.35,43.17,21.42,24.21,28.73,26.04,,50.57,,0,1.96,0,2.89,13.46,4.6,10.5,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,McNally T
