1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],5. East longitude [°],6. Radius [km],7. Radius [m],8. Apparent diameter [km],9. Transient cavity diameter [km],10. Transient cavity diameter [km],11. Floor diameter [km],12. Measured rim to floor depth [km],13. Rim to floor depth [km],14. Apparent depth [km],15. Transient cavity depth [km] ,16. Interior volume [km^3],17. Rim height [km],18. Rim flank width [km],19. Measured height of central peak [km],20. Height of central peak [km],21. Diameter of central peak [km],22. Basal area of central peak [km^2],23. Maximum diameter of ejecta blocks [km],24. Maximum diameter of ejecta blocks [km] ,25. Thickness of ejecta in the distance equal to one radius [m] ,26. Thickness of ejecta in the distance equal to two radii [m],27. Thickness of ejecta in the distance equal to three radii [m],28. Thickness of ejecta in the distance equal to four radii [m],29. Thickness of ejecta in the distance equal to five radii [m],"30. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","31. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","32. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","33. Thickness of ejecta in the distance of 10,000 m outside the rim [m]",34. Radial distance of continuous ejecta [km],35. Radial distance of continuous ejecta [km],36. Radius of ejecta blanket thicker than 10 m [km],37. Radius of ejecta blanket thicker than 10 m [km] minimum,38. Radius of ejecta blanket thicker than 10 m [km] best estimate,39. Radius of ejecta blanket thicker than 10 m [km] maximum,40. Radius of radar-bright halo [km],41. Measured radius of radar-bright halo [km],42. Radius of radar-dark halo [km],43. Measured radius of radar-dark halo [km],44. Depth of excavation [km],45. Depth of excavation [km],46. Depth of melting [km],47. Depth of melting [km],48. Melt volume [km^3] ,"49. Melt volume, 45° on basalt [km^3] ","50. Melt volume, 45° on anorthosite [km^3] ",51. Age,52. Age class,53. Remarks,54. Age - source ,55. Age - other sources,56. Basin age group,"57. Citation for first mention, citation for nomenclature from ",58. Approval,59. Peak lithology,60. Ol [vol.-%],61. Opx [vol.-%],62. Cpx [vol.-%],63. Plg [vol.-%],64. Mafics/Plg,65. Opx/Cpx,66. Plg [wt.-%],67. Ol [wt.-%],68. Opx [wt.-%],69. Cpx [wt.-%],70. FeO [wt.-%],71. Peak lithologies,72. Setting,73. Average CF [?m],74. Average OMAT,75. Average FeO [wt.-%],76. OMAT range,77. Plg abundance class,78. Province,79. Peak degradation,80. PAN location,81. Rays,1. Crater name 
Abenezra E,14.11,-21.46,9.4,9.4,7.1,7055,11.71,11.85,0,3.31,1.13,2.84,2.279,3.95,0,0.53,3.73,,0,0,0,0.06,0.17,282.2,35.28,10.45,4.41,2.26,19.98,46,50.48,16.48,16.76,14.09,28.36,18.32,21.48,26.84,13.87,,36.85,,0,1.19,0,1.51,1.93,0.7,1.5,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abenezra E
Abenezra F,6.3,-21.58,10.34,10.34,3.2,3150,5.23,5.29,0,0.8,,1.26,1.067,1.76,10,0.23,1.65,,0,0,0,0.03,0.1,126,15.75,4.67,1.97,1.01,1.73,6.77,7.45,1.43,7.45,6.41,11.55,6.5,7.33,8.68,5.06,,18.73,,0,0.53,0,0.53,0.09,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abenezra F
Abenezra G,4.92,-20.53,11,11,2.5,2460,4.08,4.13,0,0.52,,0.98,0.846,1.38,4.76,0.18,1.29,,0,0,0,0.03,0.09,98.4,12.3,3.64,1.54,0.79,0.76,3.48,3.84,0.62,5.81,5.04,8.77,4.73,5.27,6.14,3.72,,15.22,,0,0.41,0,0.39,0.03,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abenezra G
Abenezra H,4.72,-21.09,12.71,12.71,2.4,2360,3.92,3.96,0,0.48,0.58,0.94,0.813,1.32,4.21,0.17,1.23,,0,0,0,0.03,0.08,94.4,11.8,3.5,1.48,0.76,0.66,3.11,3.42,0.54,5.57,4.84,8.37,4.48,4.99,5.79,3.53,,14.7,,0,0.4,0,0.37,0.03,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abenezra H
Abenezra J,4.26,-19.92,10.69,10.69,2.1,2130,3.54,3.58,0,0.4,,0.85,0.738,1.19,3.09,0.16,1.11,,0,0,0,0.03,0.08,85.2,10.65,3.16,1.33,0.68,0.46,2.33,2.57,0.38,5.02,4.38,7.47,3.93,4.35,5.02,3.1,,13.49,,0,0.36,0,0.32,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abenezra J
Abenezra P,39.27,-20.02,9.85,9.85,19.6,19635,33.77,33.99,23.68,18.32,,3.15,2.181,11.33,1145.14,1.02,10.05,,0.83,7.6,27.88,0.11,0.34,210.36,26.3,7.79,3.29,1.68,61.19,268.5,293.76,188.46,46.93,38.26,88.74,46.88,54.2,66.41,51.76,,87.02,,3.79,3.4,4.98,5.88,111.7,37.9,86.8,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abenezra P
Abetti,1.6,20.11,27.82,27.82,0.8,800,1.33,1.34,0,0.07,,0.32,0.294,0.45,0.16,0.06,0.41,,0,0,0,0.01,0.04,32,4,1.19,0.5,0.26,0.01,0.13,0.14,0.01,1.88,1.68,2.51,1.12,1.18,1.27,0.91,,5.93,,0,0.13,0,0.09,0,0,0,,,,,,,IAU1976,1976,,,,,,,,,,,,,,,,,,,,,,,,Abetti
Abul Wafa,54.18,0.96,116.63,116.63,27.1,27090,46.59,44.69,31.99,27.38,4.05,3.47,2.405,14.9,2408.49,1.16,13.15,,0,11.46,56.41,0.14,0.42,266.94,33.37,9.89,4.17,2.14,104.01,401.67,439.04,348.32,64.88,52.38,127.02,69.24,80.96,100.78,72.87,,114.01,,4.98,4.47,7.81,8.37,320.24,108.5,248.9,Nectarian,2,,W&B09,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Abul Wafa
Abul Wafa A,14.98,1.4,116.86,116.86,7.5,7490,12.43,12.58,0,3.68,,3.02,2.411,4.19,0,0.56,3.97,,0,0,0,0.06,0.18,299.6,37.45,11.1,4.68,2.4,23.53,52.09,57.16,19.41,17.8,14.94,30.32,19.79,23.26,29.18,14.95,,38.75,,0,1.26,0,1.63,2.43,0.8,1.9,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Abul Wafa A
Abul Wafa Q,31.04,0.14,115.88,115.88,15.5,15520,26.69,27.83,19.01,13.65,,2.94,2.03,9.28,665.14,0.93,8.25,,0.52,5.47,16.66,0.1,0.29,176.76,22.1,6.55,2.76,1.41,39.76,191.54,209.71,115.2,37.05,30.41,68.28,35.26,40.43,48.96,40.32,,71.43,,3.1,2.78,3.36,4.54,51.74,17.5,40.2,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Abul Wafa Q
